timestamp,errors,latency,traffic,average.cpuPercent_x,average.cpuPercent_y,average.memoryUsedPercent_x,average.memoryUsedPercent_y,tsr,apdex,cpu
2023-06-28T11:24:00Z,0.0,0.953491261228919,128,33.907463231114,14.101170291612496,36.65044995316473,38.96756657299612,100.0,0.85,0.0
2023-06-28T11:24:30Z,0.0,1.3244007759094238,125,37.13998547114502,14.006243796514084,36.70465341897497,38.906739261340824,100.0,0.78,0.0
2023-06-28T11:25:00Z,0.0,1.0541082291767514,174,42.841253216331744,15.485661198783625,36.667151746286635,38.880043155359296,100.0,0.86,0.0
2023-06-28T11:25:30Z,0.0,1.054615971369621,156,35.55095716701805,13.68081090568328,36.63395724608591,38.8149170346581,100.0,0.85,0.0
2023-06-28T11:26:00Z,0.0,1.851752312866958,143,43.95167003694508,15.534820421910863,36.61521477318346,38.809957513716036,100.0,0.77,0.0
2023-06-28T11:26:30Z,0.0,1.3436843616510528,153,40.13054723768051,15.398492740616566,36.634852134350325,38.87447310317142,100.0,0.78,0.0
2023-06-28T11:27:00Z,0.0,1.6249459082080473,155,38.955559961159864,14.82383813616322,36.62669777866988,38.84250802890406,100.0,0.75,0.0
2023-06-28T11:27:30Z,0.0,1.1602742703755697,150,40.9388592803062,15.084609132109252,36.5962213970293,38.88161548240332,100.0,0.82,0.0
2023-06-28T11:28:00Z,0.0,1.7709818372921067,147,41.7297429358263,15.908970687371179,36.653636424461396,38.77109260002677,100.0,0.78,0.0
2023-06-28T11:28:30Z,0.0,1.183684562215742,151,42.15631538956685,15.059461734009197,36.69899136892814,38.78371303358758,100.0,0.8,0.0
2023-06-28T11:29:00Z,0.0,1.7488013795904211,148,40.48619665429731,14.817334153086813,36.68852870333199,38.86495550649003,100.0,0.74,1.0
2023-06-28T11:29:30Z,0.0,1.3143679049707229,155,38.50114426166713,14.709560485564596,36.7015338552121,38.90734979258665,100.0,0.84,1.0
2023-06-28T11:30:00Z,0.0,1.6559989213943482,140,68.75915426463425,30.607801305519544,37.23869262678978,39.022865649672156,100.0,0.74,1.0
2023-06-28T11:30:30Z,0.0,1.6907488866285845,143,60.6020889272199,24.203336579289115,37.31654790579419,39.0380536598421,100.0,0.77,1.0
2023-06-28T11:31:00Z,0.0,2.3948833807822196,124,57.39157255124545,18.760203525543947,37.274279071323434,38.983666198313934,100.0,0.65,0.0
2023-06-28T11:31:30Z,0.0,2.0785095235880684,136,41.432326197671266,15.514077424674886,36.9423675230831,38.937316004282074,100.0,0.71,0.0
2023-06-28T11:32:00Z,0.0,1.50838102535768,132,40.84768263394209,15.080353027701152,36.34035026093938,39.04699417904455,100.0,0.81,0.0
2023-06-28T11:32:30Z,0.0,1.7669814551318133,135,39.80807865736279,14.957882713066828,36.30980697176502,39.094582162451495,100.0,0.78,0.0
2023-06-28T11:33:00Z,0.0,1.2068665093845792,144,39.7689690380207,14.61010016516578,36.23612505018065,39.07537133681253,100.0,0.8,1.0
